origin_city,dest_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
"Atlanta, GA","Jackson, WY",25,6,15,0,19,39,1,219
"Atlanta, GA","Jackson/Vicksburg, MS",257,18,176,0,202,408,14,2824
"Atlanta, GA","Jacksonville, FL",734,25,450,1,473,995,45,4528
"Atlanta, GA","Jacksonville/Camp Lejeune, NC",60,11,41,0,38,92,4,852
"Atlanta, GA","Kahului, HI",7,0,6,0,0,10,0,41
"Atlanta, GA","Kansas City, MO",411,23,292,3,275,588,23,3283
"Atlanta, GA","Key West, FL",137,20,147,0,57,240,29,1480
"Atlanta, GA","Knoxville, TN",269,27,138,0,167,386,21,2623
"Atlanta, GA","Lafayette, LA",110,26,69,0,40,167,10,1071
"Atlanta, GA","Las Vegas, NV",722,36,727,7,477,1138,42,4965
"Atlanta, GA","Lexington, KY",192,12,84,0,76,261,22,2092
"Atlanta, GA","Little Rock, AR",204,24,121,0,105,287,13,2232
"Atlanta, GA","Los Angeles, CA",879,42,700,5,374,1149,35,5241
"Atlanta, GA","Louisville, KY",313,20,186,0,157,431,20,2847
"Atlanta, GA","Madison, WI",88,5,53,0,53,129,12,1019
"Atlanta, GA","Melbourne, FL",129,10,90,0,85,211,14,1392
"Atlanta, GA","Memphis, TN",369,25,218,0,227,535,33,3333
"Atlanta, GA","Miami, FL",1104,49,973,10,883,1766,76,6699
"Atlanta, GA","Milwaukee, WI",308,16,187,0,154,428,19,2483
"Atlanta, GA","Minneapolis, MN",421,25,329,1,183,612,17,3701
"Atlanta, GA","Mobile, AL",127,27,85,0,81,205,14,1495
"Atlanta, GA","Moline, IL",67,10,65,1,48,122,14,730
"Atlanta, GA","Monroe, LA",65,11,47,1,58,129,8,869
"Atlanta, GA","Montgomery, AL",135,46,72,0,51,213,9,1399
"Atlanta, GA","Montrose/Delta, CO",3,2,8,0,0,10,0,103
"Atlanta, GA","Myrtle Beach, SC",129,10,75,0,75,181,9,1387
"Atlanta, GA","Nashville, TN",411,21,238,2,229,558,28,3685
