month,origin_city,dest_city,is_late,cancelled,flight_number
1,"Arcata/Eureka, CA","San Francisco, CA",22,1,94
1,"Asheville, NC","Atlanta, GA",31,1,165
1,"Asheville, NC","Austin, TX",1,1,9
1,"Asheville, NC","Baltimore, MD",1,0,2
1,"Asheville, NC","Boston, MA",2,0,5
1,"Asheville, NC","Charlotte, NC",46,4,214
1,"Asheville, NC","Chicago, IL",14,5,61
1,"Asheville, NC","Dallas/Fort Worth, TX",6,1,38
1,"Asheville, NC","Denver, CO",5,0,34
1,"Asheville, NC","Fort Lauderdale, FL",12,0,47
1,"Asheville, NC","Houston, TX",1,0,5
1,"Asheville, NC","Key West, FL",2,0,9
1,"Asheville, NC","Las Vegas, NV",4,0,9
1,"Asheville, NC","Minneapolis, MN",0,0,1
1,"Asheville, NC","New York, NY",10,0,62
1,"Asheville, NC","Newark, NJ",4,0,40
1,"Asheville, NC","Phoenix, AZ",5,0,9
1,"Asheville, NC","Punta Gorda, FL",3,0,12
1,"Asheville, NC","Sanford, FL",14,1,42
1,"Asheville, NC","Sarasota/Bradenton, FL",2,0,8
1,"Asheville, NC","St. Petersburg, FL",11,0,41
1,"Asheville, NC","Washington, DC",3,3,32
1,"Asheville, NC","West Palm Beach/Palm Beach, FL",4,0,8
1,"Ashland, WV","Sanford, FL",2,0,11
1,"Ashland, WV","St. Petersburg, FL",3,0,9
1,"Aspen, CO","Atlanta, GA",23,8,62
1,"Aspen, CO","Austin, TX",7,4,23
1,"Aspen, CO","Chicago, IL",47,19,150
1,"Aspen, CO","Dallas/Fort Worth, TX",37,18,131
1,"Aspen, CO","Denver, CO",75,22,247
1,"Aspen, CO","Houston, TX",35,12,102
1,"Aspen, CO","Los Angeles, CA",37,16,163
1,"Aspen, CO","Phoenix, AZ",10,4,31
1,"Aspen, CO","San Francisco, CA",19,4,62
1,"Atlanta, GA","Albany, GA",10,0,62
1,"Atlanta, GA","Albany, NY",16,0,75
1,"Atlanta, GA","Albuquerque, NM",9,0,71
1,"Atlanta, GA","Alexandria, LA",9,2,62
1,"Atlanta, GA","Allentown/Bethlehem/Easton, PA",16,0,80
1,"Atlanta, GA","Appleton, WI",6,0,34
1,"Atlanta, GA","Asheville, NC",24,1,166
1,"Atlanta, GA","Aspen, CO",16,1,62
1,"Atlanta, GA","Augusta, GA",45,1,175
1,"Atlanta, GA","Austin, TX",84,1,297
1,"Atlanta, GA","Baltimore, MD",82,5,445
1,"Atlanta, GA","Baton Rouge, LA",27,4,105
1,"Atlanta, GA","Birmingham, AL",31,1,225
1,"Atlanta, GA","Bloomington/Normal, IL",17,2,62
1,"Atlanta, GA","Boise, ID",8,0,31
1,"Atlanta, GA","Boston, MA",65,1,341
1,"Atlanta, GA","Bozeman, MT",7,0,35
1,"Atlanta, GA","Bristol/Johnson City/Kingsport, TN",26,3,114
1,"Atlanta, GA","Brunswick, GA",27,0,62
1,"Atlanta, GA","Buffalo, NY",20,3,83
1,"Atlanta, GA","Burlington, VT",4,0,31
1,"Atlanta, GA","Cedar Rapids/Iowa City, IA",5,1,34
1,"Atlanta, GA","Charleston, SC",35,0,203
1,"Atlanta, GA","Charleston/Dunbar, WV",30,1,82
1,"Atlanta, GA","Charlotte Amalie, VI",7,0,65
1,"Atlanta, GA","Charlotte, NC",67,1,374
1,"Atlanta, GA","Charlottesville, VA",17,2,86
1,"Atlanta, GA","Chattanooga, TN",30,3,169
1,"Atlanta, GA","Chicago, IL",145,25,692
1,"Atlanta, GA","Christiansted, VI",3,0,22
1,"Atlanta, GA","Cincinnati, OH",46,2,206
1,"Atlanta, GA","Cleveland, OH",35,1,206
1,"Atlanta, GA","Colorado Springs, CO",7,0,31
1,"Atlanta, GA","Columbia, SC",32,0,174
1,"Atlanta, GA","Columbus, GA",29,2,82
1,"Atlanta, GA","Columbus, MS",12,6,62
1,"Atlanta, GA","Columbus, OH",44,1,222
1,"Atlanta, GA","Dallas, TX",52,3,239
1,"Atlanta, GA","Dallas/Fort Worth, TX",135,4,476
1,"Atlanta, GA","Dayton, OH",16,0,107
1,"Atlanta, GA","Daytona Beach, FL",12,0,108
1,"Atlanta, GA","Denver, CO",85,10,470
1,"Atlanta, GA","Des Moines, IA",15,2,92
1,"Atlanta, GA","Detroit, MI",92,2,405
1,"Atlanta, GA","Dothan, AL",18,0,62
1,"Atlanta, GA","Eagle, CO",8,0,51
1,"Atlanta, GA","El Paso, TX",8,0,53
1,"Atlanta, GA","Evansville, IN",15,2,82
1,"Atlanta, GA","Fayetteville, AR",21,2,111
1,"Atlanta, GA","Fayetteville, NC",9,0,62
1,"Atlanta, GA","Fort Lauderdale, FL",168,0,732
1,"Atlanta, GA","Fort Myers, FL",79,0,332
1,"Atlanta, GA","Fort Wayne, IN",17,5,82
1,"Atlanta, GA","Gainesville, FL",25,3,136
1,"Atlanta, GA","Grand Rapids, MI",20,1,106
1,"Atlanta, GA","Green Bay, WI",7,0,31
1,"Atlanta, GA","Greensboro/High Point, NC",31,1,191
1,"Atlanta, GA","Greer, SC",53,1,263
1,"Atlanta, GA","Gulfport/Biloxi, MS",10,2,92
1,"Atlanta, GA","Harrisburg, PA",13,2,75
1,"Atlanta, GA","Hartford, CT",26,0,145
1,"Atlanta, GA","Hayden, CO",1,0,31
1,"Atlanta, GA","Honolulu, HI",9,0,31
1,"Atlanta, GA","Houston, TX",126,6,578
1,"Atlanta, GA","Huntsville, AL",31,7,194
1,"Atlanta, GA","Indianapolis, IN",37,0,248
1,"Atlanta, GA","Jackson, WY",0,0,23
1,"Atlanta, GA","Jackson/Vicksburg, MS",53,1,228
1,"Atlanta, GA","Jacksonville, FL",78,2,367
