week_number,origin_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
1,"Victoria, TX",2,0,1,0,1,3,0,15
1,"Waco, TX",6,1,3,0,2,7,0,26
1,"Walla Walla, WA",0,0,1,0,2,2,1,14
1,"Washington, DC",310,33,263,6,257,528,41,4004
1,"West Palm Beach/Palm Beach, FL",116,2,100,1,125,178,9,904
1,"White Plains, NY",39,9,48,0,33,66,1,288
1,"Wichita Falls, TX",3,0,1,0,1,2,0,18
1,"Wichita, KS",15,2,17,0,10,28,0,201
1,"Williston, ND",6,1,7,0,2,10,0,43
1,"Wilmington, NC",6,1,7,0,13,18,0,147
1,"Worcester, MA",1,0,0,0,1,1,5,24
1,"Wrangell, AK",0,0,1,0,3,3,0,16
1,"Yakutat, AK",0,0,0,0,0,0,2,16
1,"Yuma, AZ",4,0,0,0,0,4,0,36
2,"Aberdeen, SD",0,0,0,0,0,0,1,14
2,"Abilene, TX",3,5,8,0,8,15,1,34
2,"Adak Island, AK",0,0,1,1,0,1,0,2
2,"Aguadilla, PR",5,0,6,0,9,13,0,57
2,"Akron, OH",3,2,6,0,5,11,5,56
2,"Albany, GA",4,1,1,0,0,5,0,14
2,"Albany, NY",26,4,36,1,22,47,5,193
2,"Albuquerque, NM",35,4,44,0,59,87,10,391
2,"Alexandria, LA",6,3,9,1,2,12,2,35
2,"Allentown/Bethlehem/Easton, PA",3,3,13,1,5,16,3,72
2,"Alpena, MI",0,2,1,0,0,2,9,12
2,"Amarillo, TX",11,4,17,0,17,31,6,89
2,"Anchorage, AK",32,3,15,0,29,56,29,254
2,"Appleton, WI",13,11,26,0,8,39,19,101
2,"Arcata/Eureka, CA",0,2,0,0,3,5,1,34
2,"Asheville, NC",26,2,30,0,17,45,6,183
2,"Ashland, WV",0,0,0,0,0,0,0,4
2,"Aspen, CO",21,23,52,1,30,85,53,215
2,"Atlanta, GA",972,186,889,3,705,1647,86,5772
2,"Atlantic City, NJ",7,0,17,0,5,17,3,61
2,"Augusta, GA",10,6,11,0,3,21,1,59
2,"Austin, TX",282,7,287,2,307,482,70,1432
2,"Bakersfield, CA",4,1,6,0,1,8,0,40
2,"Baltimore, MD",350,12,323,2,303,542,103,1662
2,"Bangor, ME",2,1,4,0,2,6,7,56
2,"Barrow, AK",0,1,0,0,1,2,2,7
2,"Baton Rouge, LA",9,6,15,2,12,26,3,84
2,"Beaumont/Port Arthur, TX",5,2,1,0,4,7,0,14
2,"Belleville, IL",1,1,2,0,2,3,1,13
2,"Bellingham, WA",5,1,5,0,5,8,0,44
2,"Bemidji, MN",2,3,2,0,0,5,0,14
